EVNT_ID,VechicleMake,VehicleColor,VehicleModel,TowCompany
25T036595,GMC,White,,Elite Towing & Recovery **Tow Desk**
25T036595,GMC,White,,Newhouse & Hutchins Towing
25T062772,,White,,Mishler Towing, Inc
25T062772,,White,,BC Towing
25T062772,,White,,OK Motor Sales & Towing
25T062772,,White,,BC Towing
25T062772,,White,,OK Motor Sales & Towing
25T068616,Travel,White,Trailer,Steve's Towing & Recycling, LLC
25T068616,Travel,White,Trailer,Frontier Equipment, Inc
25T068616,Travel,White,Trailer,Macinnes Towing
25T068616,Travel,White,Trailer,Frontier Equipment, Inc
25T068616,Travel,White,Trailer,Frontier Equipment, Inc
25T071122,,,,Santiam Towing & Recovery
25T072696,Comfort,Tan,,Star 24 HR Towing
25T072696,Comfort,Tan,,Caveman Towing
25T072696,Comfort,Tan,,Bulldog Towing (Grants Pass)
25T072696,Comfort,Tan,,Goodfellas Towing
25T072696,Comfort,Tan,,Bulldog Towing (Grants Pass)
25T072696,Comfort,Tan,,Oregon Towing
25T072696,Comfort,Tan,,
25T072696,Comfort,Tan,,Oregon Towing
25T072696,Comfort,Tan,,Fairgrounds Towing & Fuel, LLC
25T072696,,Beige,COMFORT,
25T072696,Comfort,Tan,,
25T073819,Chevrolet,Silver,express,Seaside Towing
25T073967,Dodge,White,Avenger,Elite Towing & Recovery **Tow Desk**
25T073970,Subaru,Black,Forester,Elite Towing & Recovery **Tow Desk**
25T073970,Subaru,Black,Forester,Elite Towing & Recovery **Tow Desk**
25T074012,,,,SPS of Oregon
25T074012,,,,
25T074215,Hyundai,Silver,Veloster,Newhouse & Hutchins Towing
25T074268,Honda,Silver,ody,Rivers Edge Towing
25T074287,Volkswagen,White,Jetta,Speeds Supertow **Tow Desk**
25T074287,General Motors,Black,Acadia,21st Century Towing
25T074319,Toyota,Silver,Prious,Elite Towing & Recovery **Tow Desk**
25T074319,Toyota,Silver,Prious,
25T074335,Honda,Multicolored,CBR,21st Century Towing
25T074335,Honda,Multicolored,CBR,Sargeants Towing **Tow Desk**
25T074342,,,,Hubbard Towing
25T074342,,,,Baker & Baker Towing
25T074342,,,,BC Towing
25T074342,,,,
25T074342,,,,M & M Auto Wrecking & Towing
25T074342,,,,Day N Nite Towing, LLC
25T074578,,,,Day N Nite Towing, LLC
25T074604,Jeep (1989-Current),Gold,GCH,Precision Towing & Recovery Inc
25T074604,Jeep (1989-Current),Gold,GCH,P & M Automotive
25T074604,Jeep (1989-Current),Gold,GCH,Retriever Towing **Tow Desk**
25T074604,Jeep (1989-Current),Gold,GCH,AE Collision & Towing, Inc
25T074604,Jeep (1989-Current),Gold,GCH,M & M Auto Wrecking & Towing
25T074625,Nissan,,ROGUE,Newhouse & Hutchins Towing
25T074628,Subaru,Blue,OUTBACK,21st Century Towing **Tow Desk**
25T074673,CHEVY,Tan,C15,21st Century Towing **Tow Desk**
25T074681,Honda,Silver,CIVIC,Bud's Towing, Inc
25T074718,Nissan,Brown,,Elite Towing & Recovery **Tow Desk**
25T074746,Buick,Silver,,Elite Towing & Recovery
25T074833,TRAILER,,,Guzman Brothers Mobile Repair & Towing
25T074833,TRAILER,,,Guzman Brothers Mobile Repair & Towing
25T074833,TRAILER,,,Rivers Edge Towing
25T074902,,,,Wiltse Towing LLC
25T074902,,,,Premier Towing & Recovery
25T074943,Volkswagen,,TIGUAN,Elite Towing & Recovery **Tow Desk**
25T074965,HARLEY D,Red,,Northwestern Towing & Recovery **Tow Desk**
25T075010,Honda,White,Fit,Speeds Supertow **Tow Desk**
25T075013,Chevrolet,White,IMP,Day N Nite Towing, LLC
25T075092,Plymouth,White,VOYAGER,Wiltse Towing LLC
25T075113,Chrysler,Silver,TOWN & COUNTRY,Journey's Salvage
25T075113,Chrysler,Silver,TOWN & COUNTRY,Dowell Towing & Recovery
25T075277,Honda,Silver,CIVIC,Hubbard Towing
25T075350,KAWK,,V7E,Elite Towing & Recovery
25T075416,Toyota,,SCION,Sergeants Towing and Recovery **Tow Desk**
25T075529,Ford,Maroon,BRONCO,Santiam Towing & Recovery
25T075543,Chrysler,Gray,Town & Country,Speeds Supertow **Tow Desk**
25T075652,Ford,Blue,Focus,Northwestern Towing & Recovery **Tow Desk**
25T075727,Volkswagen,,GTI,21st Century Towing
25T075727,Ford,Tan,Escape,21st Century Towing
25T075727,Subaru,Blue,Forester,21st Century Towing
25T075727,Volkswagen,,GTI,
25T075727,Ford,White,F250,21st Century Towing
25T075738,MINI,Red,COOPER,Sergeants Towing and Recovery **Tow Desk**
25T075801,Chevrolet,Blue,Aveo,Sargeants Towing **Tow Desk**
25T075834,Mitsubishi,Black,Lancer,Elite Towing & Recovery **Tow Desk**
25T075834,Mercedes-Benz,Cream,380,21st Century Towing
25T075834,Ford,Gray,Fusion,Elite Towing & Recovery **Tow Desk**
25T075882,Ford,Silver,TAURUS,Sergeants Towing and Recovery **Tow Desk**
25T075975,Mazda,Red,,
25T076231,Honda,Blue,Accord,21st Century Towing **Tow Desk**
25T076406,Chrysler,Gray,PAC,Elite Towing & Recovery
25T076406,Chrysler,Gray,PAC,
25T076410,Nissan,Gray,,Newhouse & Hutchins Towing
25T076410,Nissan,Gray,,Northwestern Towing & Recovery
25T076495,,Orange,,Northwestern Towing & Recovery
25T076495,,Brown,,Sergeants Towing and Recovery **Tow Desk**
25T076495,YAMA,Silver,,Sergeants Towing and Recovery **Tow Desk**
25T076574,Kia Motors Corp.,Red,RIO,Sergeants Towing and Recovery **Tow Desk**
25T076588,Nissan,White,,Elite Towing & Recovery
25T076588,Subaru,Gray,,Sergeants Towing and Recovery **Tow Desk**
25T076606,Ford,Gray,,Northwestern Towing & Recovery
25T076611,Nissan,Black,PTH,
25T076681,Chevrolet,White,IMPALLA,Rivers Edge Towing
25T076710,Subaru,Gold,LEG,21st Century Towing **Tow Desk**
25T076797,FLEETWOOD,Green,BOUNDER,Star 24 HR Towing
25T076797,FLEETWOOD,Green,BOUNDER,Fairgrounds Towing & Fuel, LLC
25T076797,FLEETWOOD,Green,BOUNDER,Goodfellas Towing
25T076868,Toyota,Red,prius,Day N Nite Towing, LLC
25T076868,Audi,Black,AA6,Elite Towing & Recovery
25T076903,Ford,PLE,RANGER,BC Towing
25T076904,Toyota,Gray,tac,Pro Tow
25T076904,Chevrolet,Black,tac,Pro Tow
25T076906,Ford,White,EXPLORER,Baker & Baker Towing
25T076937,Jeep (1989-Current),,RENEGADE,Sergeants Towing and Recovery **Tow Desk**
25T076937,Mercedes-Benz,White,,Elite Towing & Recovery **Tow Desk**
25T077011,,Gray,VAN,Northwestern Towing & Recovery **Tow Desk**
25T077075,Ford,Black,FUSION,TRS 24 HR Towing
25T077079,Chevrolet,White,C1500,New's Towing
25T077079,Chevrolet,White,C1500,All Ways Towing
25T077099,Nissan,Blue,VRS,Elite Towing & Recovery **Tow Desk**
25T077105,Ford,White,F350,21st Century Towing
25T077116,Ford,Silver,ESCAPE,Drake's Towing & Recovery
25T077116,Ford,Silver,ESCAPE,
25T077291,Nissan,Gray,SENTRA,Elite Towing & Recovery **Tow Desk**
25T077291,Ford,Gray,EDGE,21st Century Towing **Tow Desk**
25T077291,Ford,Gray,EDGE,
25T077291,Honda,Blue,ACCORD,21st Century Towing **Tow Desk**
25T077291,Toyota,Gray,TACOMA,Sargeants Towing **Tow Desk**
25T077382,KAWASAKI,Black,NINJU,Northwestern Towing & Recovery
25T077429,,White,ALLE,Mast Bros Enterprises Inc
25T077441,Honda,White,CRV,Emerald Valley Towing
25T077515,Toyota,Red,PRI,Trac Towing
25T077639,Nissan,,SENTRA,Speed's Towing
25T077748,Kia Motors Corp.,Black,Niro,Sargeants Towing **Tow Desk**
25T077760,Cadillac,Black,,Sergeants Towing and Recovery **Tow Desk**
25T077768,,Gray,CHALLENGER,Economy Towing
25T077777,Chevrolet,White,,Northwestern Towing & Recovery
25T077873,Hyundai,Silver,elantra,Classic Towing
25T077873,Hyundai,Silver,elantra,Drake's Towing & Recovery
25T077873,Hyundai,Silver,elantra,Classic Towing
25T077873,Hyundai,Silver,elantra,Affordable Towing & Repair, LLC
25T077873,Hyundai,Silver,elantra,Grumpys Towing and Recovery Inc.
25T077873,Hyundai,Silver,elantra,Affordable Towing & Repair, LLC
25T077873,Hyundai,Silver,elantra,Grumpys Towing and Recovery Inc.
25T077920,Chevrolet,Gold,C K 1500,Roseburg Towing, LLC
25T077922,Saab,Black,,Elite Towing & Recovery **Tow Desk**
25T077932,Nissan,,ARMADA,Anderson Towing & Recovery
25T077932,Nissan,,ARMADA,Sargeants Towing **Tow Desk**
25T077952,Toyota,,t100,Bixby & Sons Transport
25T077952,Toyota,,t100,Torch Towing & Transport
25T077952,Toyota,,,Bixby & Sons Transport
25T077952,Toyota,,,
25T077966,Audi,Black,,Newhouse & Hutchins Towing
25T077966,Audi,Black,,21st Century Towing
25T077966,Audi,Black,,21st Century Towing
25T078067,Toyota,Black,RAV,Elite Towing & Recovery **Tow Desk**
25T078067,Toyota,Black,TACOMA,21st Century Towing **Tow Desk**
25T078128,Scion,Gray,,Elite Towing & Recovery **Tow Desk**
25T078154,Subaru,White,,Northwestern Towing & Recovery **Tow Desk**
25T078181,Toyota,Green,SR5,E and E Towing Limited Liability Company
25T078210,,,,Dowell Towing & Recovery
25T078232,Toyota,,,Elite Towing & Recovery **Tow Desk**
25T078232,Volkswagen,,JETTA,21st Century Towing **Tow Desk**
25T078232,Subaru,,,21st Century Towing **Tow Desk**
25T078250,,White,,OK Motor Sales & Towing
25T078250,,White,,McMinnville Towing
25T078250,,White,,Gales Towing & Recovery Inc
25T078250,,White,,Fox Towing LLC
25T078250,,White,,OK Motor Sales & Towing
25T078250,,White,,Mishler Towing, Inc
25T078250,,White,,Yamhill Towing
25T078250,,White,,Mishler Towing, Inc
25T078406,Pontiac,Silver,MONTERO,B & R Towing & Recovery
25T078409,Subaru,Blue,FORRESTER,BC Towing
25T078434,Toyota,Gray,Camry,21st Century Towing **Tow Desk**
25T078439,Cadillac,Black,SRX,Trac Towing
25T078467,Ford,Blue,FUSION,B & G Towing
25T078492,BMW,White,,Speeds Supertow **Tow Desk**
25T078521,Suzuki,Black,,All Ways Towing
25T078521,Suzuki,Black,,Cascade Towing & Automotive, Inc
25T078528,Toyota,Blue,MATRIX,Newhouse & Hutchins Towing
25T078528,Ford,White,,Newhouse & Hutchins Towing
25T078568,Ford,Black,VAN,Elite Towing & Recovery **Tow Desk**
25T078586,Nissan,Gray,,Northwestern Towing & Recovery **Tow Desk**
25T078586,Lexus,Black,,21st Century Towing **Tow Desk**
25T078653,Toyota,White,COROLLA,All Star Towing & Recovery
25T078660,Toyota,Maroon,Highlander,21st Century Towing
25T078660,Mini Cooper,Blue,,21st Century Towing
25T078675,Hyundai,Black,,Newhouse & Hutchins Towing **Tow Desk**
25T078802,Chevrolet,Black,Colorado,Blu-Line Towing
25T078951,Honda,,WAGON,All-Rite Towing & Recovery, LLC
25T078951,Honda,,WAGON,
25T078951,Honda,,WAGON,Main Auto
25T078992,Kia Motors Corp.,Gray,CAD,Barber's Towing, Inc
25T078996,Honda,Blue,ACCORD,Sergeants Towing and Recovery **Tow Desk**
25T079007,Ford,Gray,,21st Century Towing **Tow Desk**
25T079009,Chevrolet,Blue,,21st Century Towing **Tow Desk**
25T079184,Subaru,,WRX,Sergeants Towing and Recovery **Tow Desk**
25T079184,Subaru,,WRX,
25T079222,Ford,Green,EXPLORER,BC Towing
25T079222,Ford,Green,EXPLORER,
25T079222,Ford,Green,EXPLORER,P & M Automotive
25T079381,Subaru,Blue,LEGACY,Webfoot Towing
25T079388,Chevrolet,Blue,Silverado,Day N Nite Towing, LLC
25T079388,Chevrolet,Blue,Silverado,
25T079516,Jeep (1989-Current),Black,Grand Cherokee,21st Century Towing **Tow Desk**
25T079581,Ford,Red,Focus,Newhouse & Hutchins Towing
25T079581,Ford,Red,Focus,Northwestern Towing & Recovery
25T079584,Ford,Blue,RANGER,Riddle Towing & Recovery
25T079584,Ford,Blue,RANGER,
25T079626,Dodge,Red,CARAVAN,Riddle Towing & Recovery
25T079626,Dodge,Red,CARAVAN,Riddle Towing & Recovery
25T079641,Dodge,WHTIE,AVENGER,Puddle Jumper Towing
25T079641,,,,Taylor's Towing & Auto Wrecking
25T079682,Ford,Green,Fiesta,Newhouse & Hutchins Towing
25T079750,Honda,Silver,Odyssey,Speeds Supertow **Tow Desk**
25T079804,Toyota,White,Sienna,21st Century Towing
25T079834,Ford,Tan,TAURUS,Speeds Supertow **Tow Desk**
25T080021,Kia Motors Corp.,Black,OPTIMA,21st Century Towing **Tow Desk**
25T080129,Kia Motors Corp.,Orange,Rio,Blu-Line Towing
25T080131,CHEVY,Silver,,21st Century Towing **Tow Desk**
25T080131,CHEVY,Silver,,
25T080131,Subaru,Gray,,21st Century Towing **Tow Desk**
25T080227,Mercedes-Benz,,,Speeds Supertow **Tow Desk**
25T080271,Toyota,Silver,SNA,Rowley's Towing
25T080275,ALUMA,White,LITE,Riddle Towing & Recovery
25T080293,Trlr,Orange,TL,Blu-Line Towing
25T080320,MNNI,Green,CTY,Car Care Tow Pro, Inc
25T080345,Honda,,,Speeds Supertow **Tow Desk**
25T080348,General Motors,,SIERRA,Northwestern Towing & Recovery **Tow Desk**
25T080373,Kia Motors Corp.,Red,,Elite Towing & Recovery **Tow Desk**
25T080373,Honda,,,21st Century Towing **Tow Desk**
25T080379,Infiniti,Silver,,Elite Towing & Recovery **Tow Desk**
25T080379,Hyundai,,sonata,Sargeants Towing **Tow Desk**
25T080392,Infiniti,Gray,EX3,Rogers Towing
25T080399,Mazda,,3,Sargeants Towing **Tow Desk**
25T080499,Toyota,Red,,Elite Towing & Recovery **Tow Desk**
25T080518,Jeep (1989-Current),Black,Compass,Northwestern Towing & Recovery **Tow Desk**
25T080536,General Motors,Silver,Acacia,21st Century Towing
25T080583,Audi,Gray,,Elite Towing & Recovery **Tow Desk**
25T080612,Jeep (1970-1988),Red,GRANDCHEROKEE,Dallas Towing
25T080613,Toyota,Black,COROLLA,
25T080883,Cadillac,Tan,ESCALADE,21st Century Towing **Tow Desk**
25T080893,FORD,BLACK,FIE,Pro Tow
25T080898,Chevrolet,White,TK,Coast Towing, Inc
25T081026,Honda,Silver,civ,Classic Towing
25T081051,Kia Motors Corp.,White,Optima,21st Century Towing **Tow Desk**
25T081064,Volkswagen,Blue,Rabbit,21st Century Towing **Tow Desk**
25T081170,+Buick,Gold,,Speeds Supertow **Tow Desk**
25T081282,Lexus,Gold,330,All Ways Towing
25T081359,,,,Ray's Towing & Garage Co, Inc
25T081359,,,,Ray's Towing & Garage Co, Inc
25T081373,Chevrolet,Silver,SILVERADO,
25T081373,Chevrolet,Silver,SILVERADO,Speeds Supertow **Tow Desk**
25T081393,Nissan,Silver,MAXIMA,Speeds Supertow **Tow Desk**
25T081436,Chevrolet,Gray,Silverado,Sargeants Towing **Tow Desk**
25T081444,Hyundai,Blue,ELANTRA,Elite Towing & Recovery **Tow Desk**
25T081444,Hyundai,Blue,ELANTRA,
25T081489,Isuzu,Silver,,21st Century Towing **Tow Desk**
25T081505,Hyundai,Blue,,Sargeants Towing **Tow Desk**
25T081592,,,,BC Towing
25T081592,,,,Wiltse Towing LLC
25T081592,,,,Santiam Towing & Recovery
25T081602,SOWI,White,L,Norris Body Shop
25T081602,SOWI,White,L,
25T081905,Toyota,Green,,Northwestern Towing & Recovery **Tow Desk**
25T081926,Ford,White,,21st Century Towing
25T081954,Nissan,Gray,,Elite Towing & Recovery **Tow Desk**
25T081954,Nissan,Gray,,
25T081998,Hyundai,White,,Elite Towing & Recovery **Tow Desk**
25T082010,CHEVY,,,Elite Towing & Recovery
25T082062,Pontiac,,SUNFIRE,Elite Towing & Recovery
25T082062,Chevrolet,,MALIBU,Elite Towing & Recovery
25T082073,Honda,,CRV,Sargeants Towing **Tow Desk**
25T082241,Mercedes-Benz,Tan,,Speeds Supertow **Tow Desk**
25T082241,Mercedes-Benz,Tan,,
25T082247,Dodge,White,Durango,Anderson Towing & Recovery
25T082247,Toyota,Gray,Rav 4,Bernabe Towing & Recovery
25T082253,Freightliner Corp,,,Gerlock Towing & Heavy Haul **Tow Desk**
25T082287,Ford,Gray,FOCUS,AA Towing
25T082314,Dodge,,RAM,Elite Towing & Recovery **Tow Desk**
25T082314,Dodge,,RAM,
25T082386,Acura,White,,Elite Towing & Recovery **Tow Desk**
25T082387,,,,Caveman Towing
25T082402,Mazda,Gray,,21st Century Towing
25T082402,Mazda,Gray,,Sargeants Towing **Tow Desk**
25T082408,Subaru,Black,FORESTER,Northwestern Towing & Recovery **Tow Desk**
25T082408,Toyota,White,COROLLA,Northwestern Towing & Recovery
25T082459,GMC,Gray,Acadia,
25T082523,BMW,Gray,328,Autohaus Towing
25T082523,BMW,Gray,,21st Century Towing **Tow Desk**
25T082546,Toyota,Silver,HIGHLANDER,Thunder Towing, LLC
25T082546,Toyota,Silver,AVALON,Thunder Towing, LLC
25T082566,Honda,Gray,ACCORD,
25T082566,Dodge,White,RAM,
25T082566,Dodge,White,RAM,
25T082611,Nissan,White,VERSA,Northwestern Towing & Recovery **Tow Desk**
25T082683,TOYT,Silver,CAM,AA Towing
25T082711,Nissan,,SENTRA,
25T082731,,,,P & M Automotive
25T082732,,,,Alpha Towing & Recovery
25T082736,Volvo,Silver,xc6,All Seasons Towing & Recovery
25T082769,Nissan,Red,,Sergeants Towing and Recovery **Tow Desk**
25T082773,Toyota,Gray,,21st Century Towing **Tow Desk**
25T082793,Honda,Blue,CIVIC,Dowell Towing & Recovery
25T082886,Toyota,Black,Rav4,Northwestern Towing & Recovery **Tow Desk**
25T082912,Suzuki,Silver,SX4,Elite Towing & Recovery **Tow Desk**
25T082923,Audi,White,Q5,Speeds Supertow **Tow Desk**
25T082923,Audi,White,Q5,
25T082972,Toyota,White,HIGHLANDER,Elite Towing & Recovery **Tow Desk**
25T083046,Toyota,Silver,COA,Elite Towing & Recovery **Tow Desk**
25T083238,Nissan,White,Frontier,
25T083238,Nissan,White,Frontier,Elite Towing & Recovery
25T083298,,,4-wheel atv,Speeds Supertow **Tow Desk**
25T083374,Mazda,Gray,MZ3,Beaverton Towing, LLC
25T083381,Ford,Silver,FUSION,T & M Towing & Hazmat, Inc
25T083381,Ford,Silver,FUSION,Brooks Towing and Offroad Recovery
25T083493,Acura,Black,MDX,Sergeants Towing and Recovery **Tow Desk**
25T083508,,,,
25T083508,,,,Purdy's Towing
